session_id,timestamp,scenario,audio_rms,audio_peak,audio_zcr,audio_spectral_centroid_hz,audio_mfcc_mean,audio_anomaly,accel_magnitude_mean,accel_std,accel_max,jerk_mean,motion_anomaly,speed_kmh,route_deviation_m,distance_from_safe_zone_m,hour_of_day,night,minutes_since_checkin,incident_history,user_trigger,user_reported_unsafe,distress_label,label_source
RN-01861,2026-08-29T00:53:28,simulated_distress_combined,0.2637,0.8873,0.2608,2641.9,-8.006,1,19.396,7.025,33.885,27.218,1,9.46,434.4,794.0,0,1,134.7,1,0,1,1,controlled_simulation
RN-00354,2026-08-29T11:40:32,normal_day_walk,0.0823,0.04,0.1088,2013.7,-15.076,0,4.044,1.097,2.8,3.535,0,1.8,27.4,312.6,11,0,1.0,0,0,0,0,controlled_simulation
RN-01334,2026-08-10T20:45:46,minor_route_deviation,0.0496,0.1952,0.0932,1908.4,-22.622,0,1.517,0.665,6.72,4.651,0,6.55,80.2,280.4,20,0,36.8,2,0,0,0,controlled_simulation
RN-00906,2026-08-16T07:54:06,normal_commute,0.0336,0.2851,0.0685,2756.4,-17.915,0,4.894,0.972,4.163,1.34,0,14.97,12.7,218.6,7,0,51.5,0,0,0,0,controlled_simulation
RN-01290,2026-08-03T09:12:41,minor_route_deviation,0.0401,0.1212,0.0918,1562.7,-23.473,0,5.391,1.132,6.637,2.274,0,4.87,128.5,245.6,9,0,20.9,0,0,0,0,controlled_simulation
RN-01274,2026-08-14T15:56:48,minor_route_deviation,0.0661,0.218,0.116,1351.9,-26.515,0,3.064,1.482,6.985,2.581,0,7.43,90.9,292.6,15,0,32.2,0,0,0,0,controlled_simulation
RN-00939,2026-08-25T13:17:41,normal_commute,0.0618,0.2576,0.0497,1318.0,-13.13,0,2.2,1.974,6.475,2.579,0,31.62,14.8,234.0,13,0,28.8,0,0,0,0,controlled_simulation
RN-01732,2026-08-03T20:52:06,simulated_help_call,0.3002,0.7807,0.1688,2858.0,-14.884,1,4.24,1.126,6.523,3.222,0,5.35,191.8,458.4,20,0,65.6,0,0,0,1,controlled_simulation
RN-00066,2026-08-28T17:56:58,normal_day_walk,0.0378,0.2482,0.0666,2094.2,-22.778,0,3.829,1.136,5.975,1.969,0,6.78,10.2,212.5,17,0,37.2,0,0,0,0,controlled_simulation
RN-01324,2026-08-05T10:57:22,minor_route_deviation,0.0572,0.2306,0.0901,2345.3,-16.075,0,3.041,1.42,9.082,4.089,0,5.18,60.0,162.9,10,0,12.1,0,0,0,0,controlled_simulation
RN-00057,2026-08-17T12:24:07,normal_day_walk,0.0428,0.1196,0.0763,2564.7,-21.111,0,3.631,0.563,8.279,3.123,0,4.26,18.5,111.9,12,0,43.9,0,0,0,0,controlled_simulation
RN-01293,2026-08-01T10:36:04,minor_route_deviation,0.0648,0.1878,0.0917,1834.5,-13.738,0,2.877,0.938,7.489,4.615,0,5.73,131.2,294.2,10,0,7.5,1,0,0,0,controlled_simulation
RN-01119,2026-08-21T16:06:16,exercise_running,0.1034,0.2636,0.0548,1992.7,-25.893,0,7.238,3.096,10.209,10.494,0,13.43,25.3,90.1,16,0,23.9,0,0,0,0,controlled_simulation
RN-00585,2026-08-06T00:31:52,normal_night_walk,0.0772,0.0916,0.081,1789.8,-25.447,0,5.302,0.807,7.674,1.537,0,6.46,64.4,130.5,0,1,22.1,1,0,0,0,controlled_simulation
RN-00375,2026-08-31T10:13:03,normal_day_walk,0.0535,0.1885,0.0787,2437.1,-17.981,0,4.574,1.253,7.853,2.76,0,4.88,44.7,249.9,10,0,10.6,2,0,0,0,controlled_simulation
RN-00276,2026-08-04T09:40:27,normal_day_walk,0.0257,0.2918,0.051,1962.6,-17.67,0,3.364,1.548,5.349,1.892,0,6.3,12.7,114.5,9,0,36.0,1,0,0,0,controlled_simulation
RN-00747,2026-08-05T17:28:12,normal_commute,0.0325,0.1303,0.0575,2363.0,-13.013,0,3.002,1.909,6.938,1.968,0,15.09,0.0,373.2,17,0,12.8,0,0,0,0,controlled_simulation
